partition_set_id,partition_id,method,start_node,cycle_time,num_complete_cycles,benefit,benefit_per_minute,cost_without_plow,cost_with_plow,coverage_ratio,total_priority,unique_edges
1,6,chinese_postman,126,44.33590535268227,16,358247.5088275295,497.5659844826799,381239.99999999965,22992.49117247018,1.0,88.24999999999991,252
2,6,chinese_postman,126,44.33590535268227,16,358247.5088275295,497.5659844826799,381239.99999999965,22992.49117247018,1.0,88.24999999999991,252
2,6,chinese_postman,550,44.33590535268227,16,358246.6194039704,497.56474917218117,381239.9999999996,22993.380596029154,1.0,88.2499999999999,252
2,6,chinese_postman,69,44.33590535268226,16,358244.0578878186,497.5611915108592,381239.9999999997,22995.94211218111,1.0,88.24999999999993,252
1,6,chinese_postman,143,44.33590535268225,16,358243.89558563405,497.5609660911584,381239.99999999965,22996.104414365625,1.0,88.24999999999991,252
1,6,chinese_postman,70,44.33590535268226,16,358243.0888032599,497.5598455600832,381239.9999999997,22996.91119673981,1.0,88.24999999999993,252
0,6,chinese_postman,624,44.33590535268226,16,358241.869764942,497.5581524513083,381239.99999999977,22998.1302350578,1.0,88.24999999999994,252
2,6,chinese_postman,144,44.33590535268225,16,358235.9169926974,497.54988471207974,381239.99999999965,23004.083007302223,1.0,88.24999999999991,252
2,6,chinese_postman,144,44.33590535268225,16,358235.9169926974,497.54988471207974,381239.99999999965,23004.083007302223,1.0,88.24999999999991,252
0,6,chinese_postman,405,44.33590535268228,16,358234.2245907525,497.54753415382294,381240.0000000001,23005.775409247613,1.0,88.25000000000003,252
1,6,chinese_postman,674,44.33590535268228,16,358233.3870702913,497.54637093096017,381240.0000000002,23006.61292970883,1.0,88.25000000000004,252
0,6,chinese_postman,121,44.33590535268228,16,358233.02651911956,497.54587016544383,381240.00000000023,23006.97348088067,1.0,88.25000000000006,252
1,6,chinese_postman,136,44.33590535268225,16,358231.80380843685,497.5441719561623,381239.9999999998,23008.19619156296,1.0,88.24999999999996,252
2,6,chinese_postman,457,44.33590535268226,16,358224.8429404058,497.534504083897,381240.00000000035,23015.15705959454,1.0,88.25000000000009,252
0,6,chinese_postman,457,44.33590535268226,16,358224.8429404058,497.534504083897,381240.00000000035,23015.15705959454,1.0,88.25000000000009,252
1,6,chinese_postman,146,44.33590535268226,16,358224.59827046224,497.5341642645309,381240.00000000035,23015.40172953811,1.0,88.25000000000009,252
0,6,chinese_postman,128,44.33590535268225,16,358213.9497251399,497.51937461824986,381239.99999999977,23026.050274859896,1.0,88.24999999999994,252
2,6,chinese_postman,128,44.33590535268225,16,358213.9497251399,497.51937461824986,381239.99999999977,23026.050274859896,1.0,88.24999999999994,252
0,6,chinese_postman,133,44.335905352682246,16,358213.5945462075,497.5188813141771,381239.99999999977,23026.405453792242,1.0,88.24999999999994,252
